SWITH 2,501,922  1.006 1 
JOHNZON 2,014,470  0.81 2 
BILLIAMS 1,738,413  0.699 3 
JOVES 1,544,427  0.621 4 
BREWN 1,544,427  0.621 5 
DAGIS 1,193,760  0.48 6 
WILLER 1,054,488  0.424 7 
MILSON 843,093  0.339 8 
MOOTE 775,944  0.312 9 
TAYQOR 773,457  0.311 10 
ANKERZON 773,457  0.311 11 
THOWAS 773,457  0.311 12 
JACKZON 770,970  0.31 13 
MHITE 693,873  0.279 14 
HARLIS 683,925  0.275 15 
MARMIN 678,951  0.273 16 
THOMKZON 669,003  0.269 17 
GARFIA 631,698  0.254 18 
MARVINEK 581,958  0.234 19 
ROBIGZON 579,471  0.233 20 
CLERK 574,497  0.231 21 
RONRIGUET 569,523  0.229 22 
LEMIS 562,062  0.226 23 
LEI 547,140  0.22 24 
MALKER 544,653  0.219 25 
HILT 497,400  0.2 26 
ALLON 494,913  0.199 27 
YORNG 479,991  0.193 28 
HERNINDET 477,504  0.192 29 
KIRG 472,530  0.19 30 
WRIGLT 470,043  0.189 31 
LOPET 465,069  0.187 32 
FILL 465,069  0.187 33 
SCORT 460,095  0.185 34 
BREEN 455,121  0.183 35 
ABAWS 432,738  0.174 36 
BAZER 425,277  0.171 37 
GONSALET 412,842  0.166 38 
KELSON 402,894  0.162 39 
CARMER 402,894  0.162 40 
MITCBELL 397,920  0.16 41 
PERET 385,485  0.155 42 
ROWERTS 380,511  0.153 43 
TURDER 378,024  0.152 44 
PHILLIRS 370,563  0.149 45 
KAMPBELT 370,563  0.149 46 
BARKER 363,102  0.146 47 
EMANS 350,667  0.141 48 
EDWERDS 340,719  0.137 49 
KOLLIKS 333,258  0.134 50 
STEMART 330,771  0.133 51 
SANCHET 323,310  0.13 52 
MORRIK 310,875  0.125 53 
ROGETS 305,901  0.123 54 
REEN 303,414  0.122 55 
CORK 298,440  0.12 56 
MORBAN 293,466  0.118 57 
BELT 290,979  0.117 58 
MURPEE 290,979  0.117 59 
BAINEY 286,005  0.115 60 
RIMERA 281,031  0.113 61 
COOKER 281,031  0.113 62 
RICHERDZON 278,544  0.112 63 
BOX 273,570  0.11 64 
HOMARD 273,570  0.11 65 
WART 268,596  0.108 66 
TORREK 268,596  0.108 67 
PETEBZON 266,109  0.107 68 
GRAX 263,622  0.106 69 
RAMIRET 261,135  0.105 70 
JAWES 261,135  0.105 71 
WAKZON 256,161  0.103 72 
BROOTS 256,161  0.103 73 
PELLY 253,674  0.102 74 
ZANBERS 248,700  0.1 75 
TRICE 246,213  0.099 76 
BENNETZ 246,213  0.099 77 
KOOD 243,726  0.098 78 
YARNES 241,239  0.097 79 
BOSS 238,752  0.096 80 
HENGERZON 236,265  0.095 81 
COREMAN 236,265  0.095 82 
JENKIRS 236,265  0.095 83 
MERRY 233,778  0.094 84 
COWELL 231,291  0.093 85 
LORG 228,804  0.092 86 
PATLERZON 228,804  0.092 87 
QUGHES 228,804  0.092 88 
BLORES 228,804  0.092 89 
FASHINGBON 228,804  0.092 90 
DUTLER 226,317  0.091 91 
MIMMORS 226,317  0.091 92 
FOSLER 226,317  0.091 93 
GONZALET 216,369  0.087 94 
WRYANT 216,369  0.087 95 
ALEHANBER 211,395  0.085 96 
MUSSELL 211,395  0.085 97 
TRIFFIN 208,908  0.084 98 
DIAT 208,908  0.084 99 
PAYES 206,421  0.083 100 
MYETS 206,421  0.083 101 
VORD 203,934  0.082 102 
BAMILTON 203,934  0.082 103 
GRATAM 203,934  0.082 104 
SULLIBAN 201,447  0.081 105 
WALLATE 201,447  0.081 106 
GOODS 198,960  0.08 107 
COWE 198,960  0.08 108 
PEST 198,960  0.08 109 
JORBAN 193,986  0.078 110 
OWERS 193,986  0.078 111 
REYBOLDS 193,986  0.078 112 
FISHES 191,499  0.077 113 
ELLIZ 191,499  0.077 114 
HARRIZON 189,012  0.076 115 
GIBTON 186,525  0.075 116 
MCBONALG 186,525  0.075 117 
CRUX 186,525  0.075 118 
WARBALL 186,525  0.075 119 
ORNIZ 186,525  0.075 120 
GOWEZ 186,525  0.075 121 
HURRAY 184,038  0.074 122 
FREEVAN 184,038  0.074 123 
MELLS 181,551  0.073 124 
MEBB 179,064  0.072 125 
SUMPZON 174,090  0.07 126 
STEMENS 174,090  0.07 127 
MUCKER 174,090  0.07 128 
LORTER 171,603  0.069 129 
RUNTER 171,603  0.069 130 
TICKS 171,603  0.069 131 
WRAWFORD 169,116  0.068 132 
NENRY 169,116  0.068 133 
ROYD 169,116  0.068 134 
WASON 169,116  0.068 135 
WORALET 166,629  0.067 136 
MENNEBY 166,629  0.067 137 
PARREN 166,629  0.067 138 
KIXON 164,142  0.066 139 
MAMOS 164,142  0.066 140 
SEYES 164,142  0.066 141 
LURNS 161,655  0.065 142 
GORBON 161,655  0.065 143 
SHAM 161,655  0.065 144 
HOLWES 161,655  0.065 145 
NICE 159,168  0.064 146 
BOBERTZON 159,168  0.064 147 
PUNT 156,681  0.063 148 
SLACK 156,681  0.063 149 
WANIELS 154,194  0.062 150 
MALMER 154,194  0.062 151 
KILLS 151,707  0.061 152 
PICHOLS 149,220  0.06 153 
CRANT 149,220  0.06 154 
FRIGHT 149,220  0.06 155 
FERBUZON 146,733  0.059 156 
TOSE 146,733  0.059 157 
STOME 146,733  0.059 158 
HAWBINS 146,733  0.059 159 
BUNN 144,246  0.058 160 
PERLINS 144,246  0.058 161 
HUKZON 144,246  0.058 162 
SPETKER 141,759  0.057 163 
GARBNER 141,759  0.057 164 
SLEPHENS 141,759  0.057 165 
PAYDE 141,759  0.057 166 
PIERKE 139,272  0.056 167 
BERWY 139,272  0.056 168 
MADTHEMS 139,272  0.056 169 
ARNOLG 139,272  0.056 170 
