"Morbidity","ICD-10","Percent Affected"
"Other symptoms and signs involving cognitive functions and awareness","R41","22.9"
"Problems related to living alone","Z60.2","33.7"
"Post-traumatic stress disorder (PTSD)","F43.1","30"
"Malignant neoplasm without specification of site","C80","29.8"
"Other chronic obstructive pulmonary disease","J44","9.9"
"Diabetes mellitus due to underlying condition","E08","39.8"
"Essential (primary) hypertension","I10","69.3"
"Other and unspecified hearing loss","H91","7.4"
"Chronic ischemic heart disease","I25","31.7"
"Major depressive disorder, recurrent","F33","33"
