"Morbidity","ICD-10","Percent Affected"
"Other symptoms and signs involving cognitive functions and awareness","R41","23.2"
"Problems related to living alone","Z60.2","23.7"
"Essential (primary) hypertension","I10","26"
"Type 2 diabetes mellitus","E11","1.7"
"Other acne","L70.8","1.7"
"Peptic ulcer, site unspecified","K27","11"
"Unspecified viral hepatitis","B19","6.1"
"Unspecified jaundice","R17","6.1"
"Fibrosis and cirrhosis of liver","K74","0.7"
"Other disorders of urinary system","N39","16"
"Male infertility","N46","21"
"Other headache syndromes","G44","21"
"Fasciculation","R25.3","16"
"Dizziness and giddiness","R42","17"
"Paresthesia of skin","R20.2","30"
"Weakness","R53.1","21"
"Other disorders of muscle","M62","34"
"Tinnitus","H93.1","27"
"Sleep disorders","G47","31"
"Attention and concentration deficit","R41.840","19"
"Post-traumatic stress disorder (PTSD)","F43.1","46"
"Carrier of infectious disease","Z22","1.7"
"Neoplasms of unspecified behavior","D49","1.7"
"Other endocrine disorders","E34","2.9"
"Other and unspecified diseases of blood and blood-forming organs","D75","0.1"
"Mental disorder, not otherwise specified","F99","3.1"
"Other disorders of nervous system in diseases classified elsewhere","G99","4.1"
"Other and unspecified disorders of circulatory system","I99","9"
"Respiratory disorder, unspecified","J98.9","5.4"
"Disease of digestive system, unspecified","K92.9","5.8"
"Other and unspecified symptoms and signs involving the genitourinary system","R39","2.7"
"Atrophic disorders of skin","L90","8"
"Unspecified symptoms and signs involving the musculoskeletal system","R29.91","14.8"
"Concussion with loss of consciousness of unspecified duration","S06.0X9","6.2"
"Viral Warts","B07","0.4"
"Other and unspecified malignant neoplasm of skin","C44","0.2"
"Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites","D17.3","0.2"
"Other benign neoplasm of skin, unspecified","D23.9","0.4"
"Unspecified contact dermatitis","L25","0.4"
"Psoriasis","L40","0.4"
"Hirsutism","L68.0","0"
"Acne","L70","0.4"
"Rash and other nonspecific skin eruption","R21","6.1"
"Hypertrichosis","L68","0.2"
"Postinflammatory hyperpigmentation","L81.0","4"
"Hidradenitis suppurativa","L73.2","0.1"
"Tinea unguium","B35.1","15.2"
"Pityriasis versicolor","B36.0","3.6"
"Other somatoform disorders","F45.8","0.2"
"Other specified degenerative diseases of basal ganglia","G23.8","0.1"
"Multiple sclerosis","G35","0.1"
"Quadriplegia, unspecified","G82.50","0.04"
"Epilepsy and recurrent seizures","G40","0.1"
"Facial nerve disorders","G51","0"
"Mononeuropathies of upper limb","G56","0.2"
"Mononeuropathies of lower limb","G57","0.1"
"Unspecified purulent endophthalmitis, unspecified eye","H44.009","0.04"
"Other retinal disorders","H35","0"
"Glaucoma","H40","0.2"
"Other cataract","H26","0.1"
"Visual disturbances","H53","0.3"
"Blindness and low vision","H54","0.4"
"Conjunctivitis","H10","0.2"
"Other disorders of optic [2nd] nerve and visual pathways","H47","0.04"
"Conductive and sensorineural hearing loss","H90","1"
"Syncope and collapse","R55","0.2"
"Malaise and fatigue","R53","0.6"
"Pneumonia, unspecified organism","J18","8"
"Hemangioma and lymphangioma, any site","D18","15.6"
"Seborrheic dermatitis","L21","13.3"
"Striae atrophicae","L90.6","26.5"
"Gingivitis and periodontal diseases","K05","12.5"
"Hemorrhoids and perianal venous thrombosis","K64","24.1"
"Major depressive disorder, recurrent","F33","51"
