SR.No,City,State,2012 estimate,2010 Census,2010 land area,2010 population density,Location
1,New York,New York,"83,36,697","81,75,133",302.643 sq mi,"27,012 per sq mi",40.6643N 73.9385W
,,,,,783.842 km2,"10,430 km-2",
2,Los Angeles,California,"38,57,799","37,92,621",468.670 sq mi,"8,092 per sq mi",34.0194N 118.4108W
,,,,,"1,213.850 km2","3,124 km-2",
3,Chicago,Illinois,"27,14,856","26,95,598",227.635 sq mi,"11,842 per sq mi",41.8376N 87.6818W
,,,,,589.571 km2,"4,572 km-2",
4,Houston,Texas,"21,60,821","21,00,263",599.589 sq mi,"3,501 per sq mi",29.7805N 95.3863W
,,,,,"1,552.929 km2","1,352 km-2",
5,Philadelphia,Pennsylvania,"15,47,607","15,26,006",134.101 sq mi,"11,379 per sq mi",40.0094N 75.1333W
,,,,,347.321 km2,"4,394 km-2",
6,Phoenix,Arizona,"14,88,750","14,45,632",516.704 sq mi,"2,798 per sq mi",33.5722N 112.0880W
,,,,,"1,338.256 km2","1,080 km-2",
7,San Antonio,Texas,"13,82,951","13,27,407",460.933 sq mi,"2,880 per sq mi",29.4724N 98.5251W
,,,,,"1,193.812 km2","1,112 km-2",
8,San Diego,California,"13,38,348","13,07,402",325.188 sq mi,"4,020 per sq mi",32.8153N 117.1350W
,,,,,842.233 km2,"1,552 km-2",
9,Dallas,Texas,"12,41,162","11,97,816",340.519 sq mi,"3,518 per sq mi",32.7757N 96.7967W
,,,,,881.939 km2,"1,358 km-2",
10,San Jose,California,"9,82,765","9,45,942",176.526 sq mi,"5,359 per sq mi",37.2969N 121.8193W
,,,,,457.201 km2,"2,069 km-2",
11,Austin,Texas,"8,42,592","7,90,390",297.896 sq mi,"2,653 per sq mi",30.3072N 97.7560W
,,,,,771.547 km2,"1,024 km-2",
12,Jacksonville,Florida,"8,36,507","8,21,784",747.003 sq mi,"1,100 per sq mi",30.3370N 81.6613W
,,,,,"1,934.729 km2",425 km-2,
13,Indianapolis,Indiana,"8,34,852","8,20,445",361.433 sq mi,"2,270 per sq mi",39.7767N 86.1459W
,,,,,936.108 km2,876 km-2,
14,San Francisco,California,"8,25,863","8,05,235",46.873 sq mi,"17,179 per sq mi",37.7751N 122.4193W
,,,,,121.400 km2,"6,633 km-2",
15,Columbus,Ohio,"8,09,798","7,87,033",217.169 sq mi,"3,624 per sq mi",39.9848N 82.9850W
,,,,,562.466 km2,"1,399 km-2",
16,Fort Worth,Texas,"7,77,992","7,41,206",339.819 sq mi,"2,181 per sq mi",32.7795N 97.3463W
,,,,,880.128 km2,842 km-2,
17,Charlotte,North Carolina,"7,75,202","7,31,424",297.678 sq mi,"2,457 per sq mi",35.2087N 80.8307W
,,,,,770.984 km2,949 km-2,
18,Detroit,Michigan,"7,01,475","7,13,777",138.750 sq mi,"5,144 per sq mi",42.3830N 83.1022W
,,,,,359.362 km2,"1,986 km-2",
19,El Paso,Texas,"6,72,538","6,49,121",255.235 sq mi,"2,543 per sq mi",31.8484N 106.4270W
,,,,,661.057 km2,982 km-2,
20,Memphis,Tennessee,"6,55,155","6,46,889",315.055 sq mi,"2,053 per sq mi",35.1035N 89.9785W
,,,,,815.988 km2,793 km-2,
21,Boston,Massachusetts,"6,36,479","6,17,594",48.277 sq mi,"12,793 per sq mi",42.3320N 71.0202W
,,,,,125.037 km2,"4,939 km-2",
22,Seattle,Washington,"6,34,535","6,08,660",83.943 sq mi,"7,251 per sq mi",47.6205N 122.3509W
,,,,,217.410 km2,"2,800 km-2",
23,Denver,Colorado,"6,34,265","6,00,158",153.000 sq mi,"3,923 per sq mi",39.7618N 104.8806W
,,,,,396.269 km2,"1,515 km-2",
24,Washington,District of Columbia,"6,32,323","6,01,723",61.048 sq mi,"9,856 per sq mi",38.9041N 77.0171W
,,,,,158.115 km2,"3,806 km-2",
25,Nashville,Tennessee,"6,24,496","6,01,222",475.126 sq mi,"1,265 per sq mi",36.1718N 86.7850W
,,,,,"1,230.570 km2",489 km-2,
26,Baltimore,Maryland,"6,21,342","6,20,961",80.944 sq mi,"7,672 per sq mi",39.3002N 76.6105W
,,,,,209.643 km2,"2,962 km-2",
27,Louisville,Kentucky,"6,05,110","5,97,337",325.248 sq mi,"1,837 per sq mi",38.1781N 85.6667W
,,,,,842.389 km2,709 km-2,
28,Portland,Oregon,"6,03,106","5,83,776",133.427 sq mi,"4,375 per sq mi",45.5370N 122.6500W
,,,,,345.573 km2,"1,689 km-2",
29,Oklahoma City,Oklahoma,"5,99,199","5,79,999",606.410 sq mi,956 per sq mi,35.4671N 97.5137W
,,,,,"1,570.596 km2",369 km-2,
30,Milwaukee,Wisconsin,"5,98,916","5,94,833",96.122 sq mi,"6,188 per sq mi",43.0633N 87.9667W
,,,,,248.955 km2,"2,389 km-2",
31,Las Vegas,Nevada,"5,96,424","5,83,756",135.815 sq mi,"4,298 per sq mi",36.2277N 115.2640W
,,,,,351.759 km2,"1,660 km-2",
32,Albuquerque,New Mexico,"5,55,417","5,45,852",187.730 sq mi,"2,908 per sq mi",35.1056N 106.6474W
,,,,,486.218 km2,"1,123 km-2",
33,Tucson,Arizona,"5,24,295","5,20,116",226.709 sq mi,"2,294 per sq mi",32.1543N 110.8711W
,,,,,587.173 km2,886 km-2,
34,Fresno,California,"5,05,882","4,94,665",111.957 sq mi,"4,418 per sq mi",36.7827N 119.7945W
,,,,,289.967 km2,"1,706 km-2",
35,Sacramento,California,"4,75,516","4,66,488",97.915 sq mi,"4,764 per sq mi",38.5666N 121.4686W
,,,,,253.600 km2,"1,839 km-2",
36,Long Beach,California,"4,67,892","4,62,257",50.293 sq mi,"9,191 per sq mi",33.8091N 118.1553W
,,,,,130.259 km2,"3,549 km-2",
37,Kansas City,Missouri,"4,64,310","4,59,787",314.950 sq mi,"1,460 per sq mi",39.1252N 94.5511W
,,,,,815.717 km2,564 km-2,
38,Mesa,Arizona,"4,52,084","4,39,041",136.452 sq mi,"3,218 per sq mi",33.4019N 111.7174W
,,,,,353.410 km2,"1,242 km-2",
39,Virginia Beach,Virginia,"4,47,021","4,37,994",249.016 sq mi,"1,759 per sq mi",36.7793N 76.0240W
